accession	Mut_L0_1	Mut_L0_2	Mut_L3_1	Mut_L3_2	URT1_L12_1_2019	URT1_L12_2_2019	URT1_L17_1_2019	URT1_L17_2_2019
AT2G21060.1	6	7	6	4	13	12	10	13
AT2G21130.1	0	0	0	0	0	0	1	1
AT2G21160.1	1	1	3	2	1	3	1	2
AT2G21330.1	8	13	6	6	3	8	8	6
AT2G21390.1	18	16	16	16	11	14	21	15
AT2G21410.1	0	1	0	0	0	0	0	0
AT2G21580.1	4	4	3	1	1	3	3	1
AT2G21660.1	52	57	67	62	99	88	52	69
AT2G21870.1	2	2	1	2	0	0	1	1
AT2G21960.1	0	0	1	0	0	0	0	0
AT2G22125.1	0	0	1	0	0	0	2	0
AT2G22230.1	0	0	0	0	0	0	0	1
AT2G22360.1	1	0	0	0	1	3	1	2
AT2G23350.1	12	10	13	11	13	15	13	11
AT2G24050.1	0	1	0	1	0	3	1	1
AT2G24090.1	0	1	0	0	0	0	0	0
AT2G24200.1	0	0	0	1	0	0	1	0
AT2G24210.1	0	0	0	0	1	1	0	0
AT2G24420.1	2	1	1	0	1	2	0	0
AT2G25110.1	0	1	1	0	0	0	1	1
AT2G25140.1	3	2	3	3	3	3	0	2
AT2G25170.1	0	1	1	0	0	0	0	0
AT2G25280.1	0	0	0	0	0	0	1	0
AT2G25890.1	4	2	0	0	5	6	0	0
AT2G26140.1	0	0	0	1	0	0	1	0
AT2G26250.1	3	3	3	3	5	3	5	3
AT2G26280.1	3	2	2	3	3	3	4	3
